user_id,name,email,signup_date
1,Alice Chen,alice.chen@example.com,2024-01-15
2,Marcus Reid,marcus.reid@example.com,2024-02-03
3,Priya Nair,priya.nair@example.com,2024-02-20
4,Devon Clarke,devon.clarke@example.com,2024-03-11
5,Sofia Marquez,sofia.marquez@example.com,2024-04-02
6,Liam O'Sullivan,liam.osullivan@example.com,2024-04-19
7,Yuki Tanaka,yuki.tanaka@example.com,2024-05-07
8,Grace Kim,grace.kim@example.com,2024-05-30
9,Ahmed Hassan,ahmed.hassan@example.com,2024-06-14
10,Nora Petrov,marcus.reid@example.com,2024-07-01
